UID,DV,Zip Code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105
1784,0,560064,SOUTH,Bangalore,27,female,under-graduate,,676,59000,Yes,Yes,salaried,NUANCE TRANSCRIPTION SERVICES INDIA PRIVATE LIMITED,term,4444,60,175000,4130,44787,term,4,3,208,1.66,223402,-2,0,-2,12,37.85,14,2,-2,1,0,2,90.15,12,59.66,590164,0,RVLRPLUS,-2,0,-1,3,311099.2,0,852922.6,86,3,311099.2,0,0,0,3,0,0,1,223402,18,1,0,7,0,103,-2,11,100,-1,2,0,223402,18,0,3,-1,180187,30.53,17,372,6,43,69.65,0,596034.6,3,12,52,0,0,1,16,162186,4569498,0,0, -   ,"21,04,700",2230670,125970,2104700,0,1,16,754
1785,0,560011,SOUTH,Bangalore,36,male,graduate,,719,55000,Yes,Yes,salaried,IBM INDIA PRIVATE LIMITED,emi-free,2442,60,200000,4720,51894,emi-free,3,3,272,7.15,257343,0,0,0,6,31.43,0,0,0,1,0,2,115.93,12,89.79,246591,0,RVLRPLUS,0,0,0,1,217444.35,3,426229.8,89,2,217444.35,0,3.33,1,1,6.52,0,1,50151,13,3,3,3,0,90,0,9,-2,-1,50,0,134680,15,0,1,-1,134680,100,13,238,9,45,55.38,0,426229.8,1,9,67,0,4,1,10,1400000,5917120,6100,6510,"12,610","57,74,097",7143515,1369418,5774097,0,1,10,733
1786,0,600122,,Chennai,49,male,post-graduate,,630,110000,Yes,Yes,salaried,INTERNATIONAL CARGO TERMINALS AND INFRASTRUCTURE PRIVATE LIMITED,term,5079,60,200000,4720,51185,term,3,2,316,1.39,673767,-2,0,14,11,35.08,12,7,0,0,0,3,102.35,12,104.71,2733197,7,RVLRPLUS,0,0,0,6,1962951.15,3,2987927.8,233,7,1287170.15,0,2.07,0,5,2.83,0,1,850000,67,1,5,17,4,-2,675781,48,65,3,24,5,621132,75,5,6,3,1963829,71.85,35,362,23,102,85.62,0,1811824.8,7,12,142,0,10,19,24,18400000,5334508,0,3687,"3,687","30,14,195",12534787,9520592,3014195,925362,1,42,689
1787,0,500072,SOUTH,Hyderabad,30,male,graduate,,770,109000,Yes,Yes,salaried,BANK OF AMERICA,emi-free,4994,60,475000,11410,120428,emi-free,4,3,312,11.88,1007823,-2,0,-2,11,39.95,0,3,-2,2,0,1,99.67,12,97.12,1242855,0,RVLRPLUS,-2,0,-2,2,1765753.6,0,2385620.8,87,2,1765753.6,0,0,0,2,0,0,1,103733,11,1,0,3,0,100,-2,8,66,-1,21,0,99826,12,0,2,-1,291366,23.44,10,408,8,41,90.98,0,2385620.8,2,11,14,0,2,1,7,725000,3305865,0,0, -   ,"24,02,166",2886241,484075,2402166,0,1,7,761
1788,0,400042,,Mumbai,32,male,graduate,,616,78000,Yes,Yes,salaried,STS TITEFLEX INDIA PRIVATE LIMITED,emi-free,1801,60,150000,3540,38275,emi-free,0,3,212,7.68,198329,-2,0,-2,2,22.97,0,1,-2,1,14,2,103.96,10,77.05,480632,0,TRANPLUS,-2,0,0,3,241573.7,2,194620.3,103,3,241573.7,0,3.7,3,3,4.26,0,0,126183,25,11,4,7,0,77,-2,18,95,-1,63,0,90915,28,0,2,-1,165311,100,21,352,7,43,79.73,0,315892.3,3,12,155,2,8,3,15,7907658,4208950,0,2818,"2,818","17,54,084",6143795,4389711,1754084,0,1,17,718
1789,0,560037,SOUTH,Bangalore,28,male,graduate,,648,32000,Yes,Yes,salaried,CYBER MEDIA (INDIA) LIMITED,term,2937,48,100000,2560,24479,term,6,3,242,-2,63653,-2,3,8,12,68.53,0,2,-2,2,0,1,106.56,12,106.56,116514,11,REVOLVER,-2,1,-1,1,367985.2,12,519472.75,101,1,0,0,14.43,0,1,21.43,0,7,48606,18,1,14,3,0,107,375791,15,58,-1,10,0,47951,18,2,3,0,81564,70,17,374,8,56,103.21,0,7425.75,1,12,52,1,0,1,16,406000,1290276,653,5448,"6,101","9,05,154",1185998,280844,905154,0,1,16,699
1790,0,201301,,Delhi NCR,45,male,professional,,721,56204,Yes,Yes,salaried,GOVT HIGH SCHOOL,term,3615,36,100000,2560,22584,term,1,1,286,-2,54463,-2,1,-2,3,100,25,0,-2,2,0,1,20.2,12,0,56056,14,TRANSACTOR,-2,0,-2,0,34357.8,0,38569.35,34,0,34357.8,999,2.86,999,0,0,999,1,27035,13,12,1,4,2,15,-2,9,100,1,8,2,15884,14,2,1,1,0,0,12,287,3,19,10.64,999,38569.35,0,3,144,0,5,2,7,2584570,451692,0,0, -   ,"1,22,415",2271599,2149184,122415,3125,1,8,738
1791,0,160062,,Chandigarh,42,female,post-graduate,,708,62000,Yes,Yes,salaried,OSOURCE (INDIA) PRIVATE LIMITED,term,8812,48,300000,7060,73442,term,2,2,120,-2,85715,28431,0,9,7,26.25,0,1,72657,1,0,2,-2,12,-2,161153,6,REVOLVER,3,1,0,-2,80637,0,0,82,-2,5151,-2,0,-2,-2,0,-2,1,83060,15,1,0,2,1,-2,138996,13,56,1,8,1,83060,16,1,3,1,161153,100,10,384,8,42,-2,-2,44451.95,-2,11,52,2,4,4,9,2557885,945826,0,0, -   ,"5,59,319",2316591,1757272,559319,0,1,12,719
1792,0,560078,SOUTH,Bangalore,45,female,graduate,,729,67000,Yes,Yes,salaried,Bank of Baroda,emi-free,4750,60,450000,10620,114840,emi-free,7,5,190,-2,34304,137063,0,5,15,0,0,0,137063,1,0,2,0,12,0,122096,4,TRANSACTOR,1,0,-2,0,955046.8,2,1553572.3,95,0,674019.8,999,5.15,999,0,4.35,999,0,132279,48,11,5,5,2,-2,314892,42,-9,0,21,2,10457,49,2,0,0,0,0,31,279,2,45,0,999,1312502.3,0,10,104,1,3,11,22,5112750,6815576,0,16115,"16,115","32,03,045",3203045,0,3203045,8124,1,32,707
1793,0,380008,,Ahmedabad,33,male,post-graduate,,625,33000,Yes,Yes,salaried,FRESHWORKS TECHNOLOGIES PRIVATE LIMITED,term,10157,60,400000,9640,102375,term,3,4,232,2.34,330291,0,0,8,10,10.82,0,3,0,0,0,3,107.35,12,100.95,533984,7,RVLRPLUS,0,0,1,3,248364.95,4,781273.35,111,3,0,0,7.21,0,3,7.69,0,0,190372,26,6,8,12,0,-2,199948,13,100,1,59,1,73669,27,2,4,2,166571,100,22,272,10,52,84.46,0,441704.1,3,10,93,4,1,4,16,1389000,2409452,0,0, -   ,"16,43,608",2358937,715329,1643608,0,1,19,740
1794,0,603204,,Chennai,28,male,graduate,,692,52000,Yes,Yes,salaried,Tekvizion Voice Solutions Pvt Ltd,emi-free,1611,60,125000,3150,32809,emi-free,3,9,284,1.85,108427,-2,0,2,5,21.39,13,2,0,2,13,1,92.81,12,102.09,421652,4,RVLRPLUS,0,1,0,3,70414.7,4,540964.35,197,4,10414.7,0,2.51,0,3,4.17,0,0,146818,24,3,5,8,0,96,60000,16,100,-1,16,0,136318,28,1,5,0,231744,77.27,19,314,17,92,69.72,0,446922.35,4,11,101,6,5,7,17,4614990,1415808,0,8086,"8,086","9,35,998",5110370,4174372,935998,0,1,23,732
1795,0,500016,SOUTH,Hyderabad,35,male,post-graduate,,679,84700,Yes,Yes,salaried,SAINT-GOBAIN INDIA PRIVATE LIMITED,emi-free,3156,60,300000,7280,76074,emi-free,4,4,256,15.23,680877,17400,0,1,12,28.19,0,5,17400,1,0,2,73.83,12,66.44,1108458,0,RVLRPLUS,1,0,-1,6,1888913.65,0,3610730.55,165,7,1871513.65,0,0.59,0,5,0,0,3,149465,30,7,1,15,0,66,17400,14,71,-1,35,0,53412,30,0,6,-1,233200,28,28,328,21,76,56.82,0,3226415.55,7,12,99,0,0,0,26,0,3864828,0,0, -   ,"26,96,664",2696664,0,2696664,38631,1,26,753
1796,0,602105,,Chennai,34,male,graduate,,624,31000,Yes,Yes,salaried,SUTHERLAND HEALTHCARE SOLUTIONS PRIVATE LIMITED,emi-free,1150,60,100000,2560,27486,emi-free,3,5,314,0.24,75810,0,0,3,12,12.58,0,5,0,1,0,2,122.34,12,122.34,278776,14,REVOLVER,0,0,-1,1,0,9,0,141,1,0,0,18.92,0,1,13.64,0,0,106439,36,6,28,4,3,122,45773,31,69,1,42,5,106439,36,5,3,1,244967,91.79,33,326,9,62,116.29,0,0,1,12,47,0,1,2,31,127000,1419207,0,56609,"56,609","8,03,725",803725,0,803725,0,1,33,719
1797,0,500090,SOUTH,Hyderabad,38,male,post-graduate,,711,85000,Yes,Yes,salaried,CISCO SYSTEMS (INDIA) PRIVATE LIMITED,term,12697,60,500000,11800,127966,term,4,1,260,2.14,189974,-2,0,3,7,27.58,0,3,-2,2,6,1,110.48,12,110.48,529838,0,RVLRPLUS,-2,1,-1,4,360405.7,3,983802.65,99,4,147539.7,0,4.12,0,4,5.45,0,1,116543,69,3,4,16,0,117,163398,53,-9,-1,9,0,116543,69,0,3,-1,381567,100,55,434,14,54,87.89,0,405691.65,4,12,194,6,0,0,40,0,5096483,0,9525,"9,525","25,06,242",2506242,0,2506242,0,1,39,689
1798,0,560084,SOUTH,Bangalore,56,male,graduate,,654,43000,Yes,Yes,salaried,CARBOLINE (INDIA) PRIVATE LIMITED,term,4406,48,150000,3540,36721,term,0,3,176,1.09,30634,0,0,10,2,14.76,0,2,132770,2,0,1,121.83,11,121.83,133445,3,REVOLVER,1,0,-1,2,1150958.15,3,1948393,98,2,0,0,8,0,2,6.38,0,0,18638,36,7,8,4,0,-2,1189800,32,85,-1,17,0,12339,36,1,4,0,90425,100,18,360,13,44,105.03,0,0,2,12,81,0,0,1,16,63207,1716443,3002,2150,"5,152","8,72,380",922588,50208,872380,0,1,16,733
1799,0,600037,,Chennai,35,male,under-graduate,,691,33000,Yes,Yes,salaried,FSN BRANDS MARKETING PRIVATE LIMITED,term,2931,55,100000,2560,20229,term,0,1,280,-2,61850,-2,0,-2,2,29.98,0,1,-2,0,0,3,124.05,9,-2,124974,19,REVOLVER,-2,0,-1,1,0,12,107012.05,94,1,0,2,18.18,2,1,25.53,2,1,95797,37,4,18,6,4,-2,-2,31,100,1,99,5,95797,37,7,2,1,95797,100,34,433,5,43,109.49,2,39971.05,1,12,118,0,0,0,31,0,1392931,0,67081,"67,081","6,06,940",606940,0,606940,0,1,30,719
1800,0,400003,,Mumbai,34,male,post-graduate,,699,60000,Yes,Yes,salaried,Nomura Services India Pvt. Ltd.,emi-free,1575,60,150000,3740,38262,emi-free,3,2,320,1.9,149836,-2,0,10,8,34.87,0,1,56748,0,0,3,92.52,12,74.51,421943,0,RVLRPLUS,1,0,0,3,495023.45,0,643432.55,102,6,92875.45,0,0,0,1,0,0,1,115026,14,4,0,7,0,72,402148,7,100,-1,18,0,108601,16,0,2,-1,135601,46.72,14,366,6,50,68.3,0,120661.55,6,11,41,0,2,2,13,4864439,839483,0,0, -   ,"5,72,076",4506379,3934303,572076,106713,1,14,764
1801,0,122001,,Delhi NCR,30,female,post-graduate,,672,47766,Yes,Yes,salaried,PEARL GLOBAL INDUSTRIES LIMITED,term,3809,60,150000,3540,38392,term,1,4,256,5.27,123636,-2,0,-2,10,23.3,0,3,-2,1,0,2,107.33,12,103.78,338109,0,RVLRPLUS,-2,0,-1,4,154087.7,2,186149.45,102,4,154087.7,0,6.6,0,4,4.08,0,0,89917,14,11,7,8,0,105,-2,6,58,-1,50,0,79552,14,0,4,-1,163246,58.8,14,286,9,46,99.41,0,186149.45,4,11,39,0,0,0,11,0,1572689,0,2290,"2,290","10,79,652",1079652,0,1079652,0,1,10,726
1802,0,500035,SOUTH,Hyderabad,58,male,graduate,,619,93000,Yes,Yes,salaried,Religare Health insurance company limited,term,17971,66,725000,17210,169820,term,3,3,358,0.92,187722,0,0,0,5,14.62,0,8,0,1,0,2,107.44,12,107.44,1191612,10,REVOLVER,0,0,0,7,0,3,0,162,7,12917.3,0,4.27,0,7,3.85,0,0,316659,19,2,7,10,1,103,0,5,32,0,26,1,310114,20,2,7,0,1076596,91.81,19,376,25,76,103.06,0,0,7,12,164,0,0,1,15,810000,4663470,14511,108040,"1,22,551","43,75,737",4712441,336704,4375737,0,1,15,717
1803,0,110027,,Delhi NCR,32,male,graduate,,714,38000,Yes,Yes,salaried,IBM India Pvt. Ltd.,emi-free,3012,60,250000,5900,63840,emi-free,3,1,302,-4,169704,-2,1,0,8,53.4,0,0,-2,0,0,3,99.98,12,0,357275,0,REVOLVER,-2,0,-1,4,47988.45,0,114672.8,93,4,47980.45,0,0,0,3,0,0,3,190685,15,4,0,7,0,95,0,8,-2,-1,19,0,190685,16,0,1,-1,0,0,14,286,6,45,75.71,0,114664.8,4,12,102,1,2,1,14,583700,1711138,0,0, -   ,"9,49,642",1463458,513816,949642,0,1,14,707
1804,0,560034,SOUTH,Bangalore,37,male,post-graduate,,676,68000,Yes,Yes,salaried,IDRS LABS PRIVATE LIMITED,term,5079,60,200000,4720,51185,term,6,5,406,2.22,356767,0,0,0,20,21.82,10,3,0,2,0,1,103.17,12,99.79,864343,0,RVLRPLUS,0,1,-1,6,934266.7,0,1346491.2,131,6,928970.05,0,0,0,6,0,0,0,121910,24,1,0,10,0,103,0,12,62,-1,96,0,218820,24,0,4,-1,864343,100,21,354,11,68,89.81,0,1304130.7,6,12,69,1,0,2,15,309000,2667256,0,0, -   ,"22,61,412",2507538,246126,2261412,0,1,16,755
1805,0,562106,SOUTH,Bangalore,34,male,post-graduate,,630,88000,Yes,Yes,salaried,JUSTCLICK TRAVELS PRIVATE LIMITED,term,4995,72,200000,4720,39385,term,4,4,204,1.16,342969,-2,1,-2,10,60.82,0,2,-2,0,0,3,92.68,12,102.07,389141,7,REVOLVER,-2,1,-1,2,559888.8,5,1339053.4,106,2,559888.8,0,7.48,0,2,9.62,0,1,208810,15,2,8,7,0,101,-2,7,100,0,11,1,207819,15,1,4,0,260291,67.91,14,362,10,51,52.19,0,1339053.4,2,11,84,0,1,0,12,0,2151911,0,23402,"23,402","14,30,173",1430173,0,1430173,2854713,1,12,692
1806,0,560060,SOUTH,Bangalore,45,male,graduate,,720,49000,Yes,Yes,salaried,CONCENTRIX daksh services private limited company,emi-free,2027,60,200000,4720,46444,emi-free,3,2,242,1.28,93955,0,0,0,13,9.31,0,6,0,0,0,3,110.07,12,114.46,615701,0,RVLRPLUS,0,0,0,7,97185.15,0,446053.35,183,7,97185.15,0,0,0,7,0,0,0,94859,61,5,0,14,0,113,0,45,40,-1,36,0,94859,66,0,5,-1,469133,89.95,44,308,18,97,85.49,0,446053.35,7,12,135,1,7,4,35,4014500,1647199,0,0, -   ,"10,76,506",5072055,3995549,1076506,0,1,39,775
1807,0,560078,SOUTH,Bangalore,40,male,graduate,,707,48000,Yes,Yes,salaried,MG AURAA CINEMAS PRIVATE LIMITED,term,22854,60,900000,9440,219714,term,4,3,346,1.05,409814,-2,0,-2,17,7.63,0,7,-2,2,0,1,131.75,12,129.82,1491401,5,RVLRPLUS,-2,0,-1,6,47501.35,3,724206.9,142,6,47501.35,0,2.08,0,6,4.41,0,0,632423,20,5,3,10,0,-2,-2,10,45,-1,150,0,632423,20,1,6,0,1475180,100,19,444,13,66,122.77,0,724206.9,6,12,66,0,0,1,14,25000,3589335,0,61997,"61,997","29,43,408",2943408,0,2943408,0,1,14,689
1808,0,560016,SOUTH,Bangalore,40,male,post-graduate,,733,58808,Yes,Yes,salaried,AMAZON DEVELOPMENT CENTRE (INDIA) PRIVATE LIMITED,term,7618,60,300000,7280,73239,term,2,2,185,-2,73431,-2,0,-2,4,0,0,0,-2,1,0,2,-2,11,-2,45002,20,REVOLVER,-2,0,-2,-2,26488.25,1,35983.45,48,-2,26488.25,-2,2.04,-2,-2,4.17,-2,0,47446,13,3,1,5,2,-2,-2,7,-9,1,8,3,42282,15,3,0,1,0,0,10,316,1,23,-2,-2,35983.45,-2,4,34,2,4,3,5,6691999,1560322,0,1525,"1,525","12,29,137",5478964,4249827,1229137,0,1,7,695
1809,0,562107,SOUTH,Bangalore,51,male,post-graduate,,700,78000,Yes,Yes,salaried,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,term,17775,60,700000,16520,170891,term,7,5,226,2.33,104383,0,0,2,12,10.12,0,1,0,1,0,2,100.79,12,87.88,491453,0,RVLRPLUS,0,0,2,3,14887.1,5,571165.35,128,3,3938.1,0,12.5,1,3,7.69,0,0,161910,17,9,16,6,0,78,10949,11,100,-1,24,0,122401,20,0,1,-1,205530,62.67,17,290,9,66,95.54,0,560216.35,3,12,37,0,3,3,12,5080000,2622213,0,5090,"5,090","17,68,370",6457377,4689007,1768370,0,1,14,760
1810,0,110025,,Delhi NCR,37,male,graduate,,715,40000,Yes,Yes,salaried,CATALYSTS BIO-TECHNOLOGIES PRIVATE LIMITED,term,5423,36,150000,3540,32599,term,3,6,179,-2,82613,0,1,6,12,80.79,0,0,0,1,20,2,55.15,12,-2,56500,0,TRANSACTOR,0,0,-1,0,136944.7,2,149324.75,140,2,114851.7,2,1.33,999,0,2.9,2,5,38606,46,5,2,5,0,5,23514,40,-2,-1,18,0,3173,46,0,1,-1,0,-2,43,315,3,62,27.52,999,119817.75,2,11,123,4,3,0,41,0,1022983,0,0, -   ,"3,19,348",319348,0,319348,7500,1,40,732
1811,0,500056,SOUTH,Hyderabad,43,male,post-graduate,,664,50000,Yes,Yes,salaried,INFOWAVE KNOWLEDGEWARE PRIVATE LIMITED,term,5423,36,150000,3540,32599,term,2,5,168,-2,42501,-2,0,2,5,0,0,1,-2,1,0,2,-2,12,-2,111788,0,TRANSACTOR,-2,0,-1,-2,18942,2,14122,77,-2,0,-2,3.8,-2,-2,5.56,-2,0,111788,26,2,3,1,0,-2,25000,25,-9,-1,45,0,104239,26,0,0,-1,0,0,25,388,5,36,-2,-2,0,-2,7,96,0,0,1,23,66780,1949446,0,7003,"7,003","5,88,147",595659,7512,588147,0,1,23,673
1812,0,600091,,Chennai,40,male,graduate,,662,50000,Yes,Yes,salaried,SAFE A&T TECHNOLOGY PRIVATE LIMITED,term,5229,54,200000,4920,40529,term,2,5,186,3.9,90367,94411,1,25,5,51.87,0,0,272795,0,0,3,99.89,12,0,696755,0,RVLRPLUS,3,0,-1,7,3126549.65,0,5756491.35,148,7,288303.65,6,0.62,6,6,0,4,1,49859,93,11,1,9,0,-2,2838246,81,100,-1,53,0,-2,94,0,0,-1,0,0,87,160,2,39,43.25,6,485668.35,7,9,214,0,1,2,82,1545141,4266640,0,0, -   ,"3,35,199",1852524,1517325,335199,-3,1,83,746
1813,0,421301,,Mumbai,32,male,graduate,,686,30000,Yes,Yes,salaried,HOMEVISTA DECOR AND FURNISHINGS PRIVATE LIMITED,term,5875,48,200000,4920,46844,term,-2,-2,235,-1,-1,-2,-1,0,1,-1,-1,-2,-2,0,-1,1,-1,7,-1,-1,25,NOBC,-2,-1,-1,-1,-2,0,-2,12,-1,-1,-1,0,-1,-1,0,-1,-1,-1,4,-1,0,0,1,-1,0,4,-1,-7,-1,1,-1,4,1,-2,-7,-1,-1,3,-1,0,4,-1,-1,-1,-1,2,25,2,0,0,3,0,236389,0,0, -   ,"1,75,756",175756,0,175756,0,1,2,767
1814,0,560005,SOUTH,Bangalore,29,male,post-graduate,,721,48000,Yes,Yes,salaried,MONTANE SHIPPING PRIVATE LIMITED,emi-free,1652,60,175000,4130,44710,emi-free,0,1,216,-2,67164,-2,0,-2,2,0,0,0,-2,1,0,2,-2,11,-2,111712,0,REVOLVER,-2,0,-1,-2,76054.25,0,137427.2,52,-2,76054.25,-2,0,-2,-2,0,-2,0,120062,9,9,0,2,0,-2,-2,7,100,-1,23,0,74803,9,0,3,-1,0,0,9,357,6,23,-2,-2,137427.2,-2,9,8,0,0,0,9,0,2114893,0,0, -   ,"9,60,541",960541,0,960541,0,1,8,781
1815,0,600106,,Chennai,48,male,graduate,,715,42000,Yes,Yes,salaried,ELYTE INTEGRATED MARKETING SERVICES PRIVATE LIMITED,term,7618,60,300000,7280,73239,term,0,5,344,1.05,208941,-2,0,-2,10,3.35,8,2,-2,3,0,0,90.59,11,79.94,829352,0,RVLRPLUS,-2,0,-1,5,267475.15,0,785791.95,94,8,267475.15,0,0,0,1,0,0,0,508102,25,12,0,12,0,83,-2,12,31,-1,188,0,443729,25,0,8,-1,719083,99.54,20,360,14,46,78.5,0,535666.95,8,12,27,0,0,1,10,453000,1362422,0,0, -   ,"9,96,104",996104,0,996104,50339,1,10,770
1816,0,560068,SOUTH,Bangalore,36,male,post-graduate,,681,86365,Yes,Yes,salaried,Amp motors Pvt Ltd,term,3808,60,150000,3740,36616,term,5,1,242,7.45,269489,-2,0,-2,14,41.12,0,1,-2,0,0,3,104.32,12,75.91,586335,0,RVLRPLUS,-2,0,-1,3,473021.55,2,1253601.15,100,3,473021.55,0,3.85,2,3,4,0,3,113571,25,11,4,6,0,87,-2,19,83,-1,65,0,194824,25,0,0,-1,202968,100,21,202,2,46,92.9,0,1253601.15,3,8,59,1,0,1,18,280000,1923658,0,12042,"12,042","6,86,823",864794,177971,686823,0,1,18,744
1817,0,500072,SOUTH,Hyderabad,46,male,post-graduate,,755,85000,Yes,Yes,salaried,ABBOTT HEALTHCARE PRIVATE LIMITED,term,6348,60,250000,5900,61032,term,2,4,248,-2,29456,0,0,4,24,45.34,0,2,0,1,0,2,183.58,12,-2,145662,0,REVOLVER,0,0,1,2,431478.45,1,890357.5,147,2,0,2,0.67,2,2,1.3,2,1,78529,74,10,1,11,0,105,386637,60,-2,-1,55,0,78529,75,0,3,-1,0,-2,73,217,5,76,105.22,2,52703.5,2,9,91,2,1,2,60,1535000,5341126,0,4690,"4,690","28,73,379",3191807,318428,2873379,0,1,61,740
1818,0,560048,SOUTH,Bangalore,33,male,graduate,,779,127000,Yes,Yes,salaried,VODAFONE INDIA SERVICES PRIVATE LIMITED,emi-free,2103,60,200000,4720,50443,emi-free,3,2,174,-2,-2,0,-2,0,10,-2,0,0,0,1,0,2,-2,12,-2,0,0,NOBC,0,0,-1,-2,852,0,1633,44,-2,-2,-2,0,-2,-2,0,-2,-2,-2,10,12,0,2,0,-2,0,8,-2,-1,-2,0,-2,10,0,0,-1,0,-2,8,300,0,22,-2,-2,-2,-2,1,23,1,0,2,6,1312789,2275597,0,0, -   ,"11,76,601",2135990,959389,1176601,0,1,7,779
1819,0,411017,,Pune,33,male,post-graduate,,679,58000,Yes,Yes,salaried,TATA CONSULTANCY SERVICES LIMITED,emi-free,3004,60,250000,5900,63796,emi-free,2,1,180,-2,32770,18166,1,1,5,50.87,0,1,18166,1,0,2,31.2,12,0,60120,8,TRANPLUS,1,0,-1,0,47129.15,0,413268.45,52,1,28963.15,15,0,999,0,0,3,2,-2,25,9,0,8,1,-2,18166,17,-9,1,27,1,20217,25,2,1,1,0,0,24,152,2,21,19.57,999,148336.45,0,4,110,0,1,0,20,0,2177484,0,0, -   ,"8,94,698",894698,0,894698,31685,1,19,783
1820,0,500035,SOUTH,Hyderabad,34,male,graduate,,657,50000,Yes,Yes,salaried,AMIT ENTERPRISES HOUSING LIMITED,term,5875,48,200000,4720,46844,term,6,1,372,1.76,247391,-2,1,-2,10,53.9,10,5,-2,3,0,0,90.43,12,65.17,500728,3,RVLRPLUS,-2,0,-1,3,417638.35,2,988503.5,83,4,417638.35,0,2.38,0,2,4.35,0,6,122278,30,5,2,10,1,65,-2,20,-9,1,17,1,91241,30,1,0,1,91241,20.26,26,290,8,45,46.86,0,988503.5,4,11,102,2,0,1,22,57000,2711683,0,0, -   ,"12,42,236",1242236,0,1242236,0,1,22,784
1821,0,560035,SOUTH,Bangalore,42,male,post-graduate,,722,180000,Yes,Yes,salaried,SEW-EURODRIVE INDIA PRIVATE LIMITED,emi-free,5911,60,500000,7375,120869,emi-free,2,2,314,0.01,531407,-2,0,-2,8,48.75,0,4,-2,2,9,1,81.83,12,58.37,1070694,9,REVOLVER,-2,0,0,3,1024359.95,4,3054531.05,154,4,752994.55,0,3.85,4,2,5.26,0,4,472286,28,3,6,11,0,-2,-2,14,54,-1,117,0,279359,35,3,2,3,39108,12.28,26,364,10,71,62.78,4,1959032,4,12,37,1,5,6,16,10100000,6915558,0,0, -   ,"39,45,043",10845803,6900760,3945043,0,1,21,743
1822,0,602105,,Chennai,35,male,graduate,,717,45311,Yes,Yes,salaried,Medlife International Private Limited,term,5423,36,150000,3740,32599,term,6,5,334,3.4,123351,51702,1,18,15,61.85,0,0,51702,2,20,1,96.54,12,0,146758,2,RVLRPLUS,1,0,-1,3,717304.65,0,911415.1,129,3,207042.65,0,0,1,2,0,0,2,84468,57,11,0,5,1,0,516387,52,-9,-7,14,1,0,57,1,0,-7,0,0,56,286,3,48,70.81,0,234356.1,3,10,140,1,0,0,50,0,2513095,0,0, -   ,"9,21,062",921062,0,921062,0,1,49,742
1823,0,600082,,Chennai,25,male,graduate,,636,54800,Yes,Yes,salaried,Sts titeflex india pvt ltd,term,3807,60,150000,3540,36615,term,5,2,124,-2,47282,0,0,0,17,22.96,0,1,0,0,0,3,0,12,-2,86812,0,REVOLVER,0,0,-1,0,25174.65,0,167054.55,75,0,24796.65,999,2.67,999,0,0,999,0,-2,14,8,2,3,0,-2,0,11,100,-1,21,0,52343,14,0,1,-1,25972,33.16,14,362,3,44,0,999,166676.55,0,12,36,0,0,0,13,0,2940211,0,0, -   ,"15,12,973",1512973,0,1512973,0,1,12,737
1824,0,560064,SOUTH,Bangalore,34,female,post-graduate,,721,85420,Yes,Yes,salaried,EATON TECHNOLOGIES PRIVATE LIMITED,term,7618,60,300000,2360,73239,term,6,3,260,1.29,220004,0,0,0,18,48.53,14,1,0,1,0,2,22.61,12,12.92,361414,0,RVLRPLUS,0,0,-2,0,85939.8,0,582056.95,106,1,85939.8,14,0.97,15,0,0,0,1,285968,43,1,1,7,0,-2,0,35,100,-1,94,0,254209,45,0,2,-1,34373,9.51,32,442,7,54,11.33,14,582056.95,0,12,144,1,6,2,15,3603000,5422260,0,0, -   ,"34,78,977",3478977,0,3478977,15878,2,15,776
1825,0,412105,,Pune,38,male,post-graduate,,657,82000,Yes,Yes,salaried,Stovekraft  Limited,emi-free,2143,60,200000,4720,51001,emi-free,5,1,304,2.14,614804,-2,0,0,20,28.7,22,6,0,1,0,2,76.62,12,88.15,1834737,0,RVLRPLUS,0,2,1,7,520483.05,1,730611.9,200,9,520483.05,0,1.04,0,6,0.85,0,1,617320,64,1,2,18,0,-2,0,44,58,-1,41,0,611320,67,0,11,-1,1779979,97.02,39,414,30,119,70.42,0,730230.9,9,12,110,2,7,11,32,5331409,4500148,0,52,52,"26,65,449",7095551,4430102,2665449,130000,1,42,721
1826,0,560086,SOUTH,Bangalore,48,male,post-graduate,,686,70000,Yes,Yes,salaried,TEAMLEASE SERVICES LIMITED,term,7230,36,200000,4720,43471,term,3,1,314,-2,27243,-2,3,0,3,98.44,0,0,0,2,0,1,2.17,6,0,91008,5,TRANSACTOR,0,0,-1,0,14171.1,2,21336.1,34,0,14171.1,999,6.67,999,0,8.7,999,3,-2,41,2,2,11,1,-2,0,30,100,-7,7,1,16585,41,2,1,0,0,0,36,295,6,28,1.42,999,14171.1,0,5,105,3,0,0,14,0,2983259,0,925,925,"19,69,399",1969399,0,1969399,0,1,13,749
